source,destination,distance,source_crime_count,destination_crime_count,dest_percentile
khanpur,adarsh nagar,19.336328225789654,1,0,100
adarsh nagar,kirti nagar,8.116233863080856,0,1,84
kirti nagar,adarsh nagar,8.116233863080856,1,0,100
adarsh nagar,lajpat nagar,17.840004596129308,0,1,84
lajpat nagar,adarsh nagar,17.840004596129308,1,0,100
adarsh nagar,mangolpuri,8.475005512125914,0,1,84
mangolpuri,adarsh nagar,8.475005512125914,1,0,100
adarsh nagar,mehrauli,14.63661165416945,0,5,17
mehrauli,adarsh nagar,14.63661165416945,5,0,100
adarsh nagar,mundka,8.383700931260929,0,1,84
mundka,adarsh nagar,8.383700931260929,1,0,100
adarsh nagar,najafgarh,8.704954698931033,0,2,67
najafgarh,adarsh nagar,8.704954698931033,2,0,100
adarsh nagar,nangloi,7.186181714220773,0,1,84
nangloi,adarsh nagar,7.186181714220773,1,0,100
adarsh nagar,naraina,6.608037834177384,0,1,84
naraina,adarsh nagar,6.608037834177384,1,0,100
adarsh nagar,narela,25.47582765930702,0,5,17
narela,adarsh nagar,25.47582765930702,5,0,100
adarsh nagar,okhla,21.96820774594244,0,4,34
okhla,adarsh nagar,21.96820774594244,4,0,100
adarsh nagar,palam,2.7132130934864964,0,1,84
palam,adarsh nagar,2.7132130934864964,1,0,100
adarsh nagar,patel nagar,9.757917142491644,0,0,100
patel nagar,adarsh nagar,9.757917142491644,0,0,100
adarsh nagar,pitampura,11.075159436239293,0,2,67
pitampura,adarsh nagar,11.075159436239293,2,0,100
adarsh nagar,prem nagar,9.153469621475644,0,1,84
prem nagar,adarsh nagar,9.153469621475644,1,0,100
adarsh nagar,rajouri garden,5.342809448357911,0,1,84
rajouri garden,adarsh nagar,5.342809448357911,1,0,100
adarsh nagar,rohini,12.18264085480324,0,4,34
rohini,adarsh nagar,12.18264085480324,4,0,100
adarsh nagar,saket,17.101536054912867,0,1,84
saket,adarsh nagar,17.101536054912867,1,0,100
adarsh nagar,sangam vihar,20.876762997116234,0,2,67
sangam vihar,adarsh nagar,20.876762997116234,2,0,100
adarsh nagar,sarai kale khan,18.289129157382703,0,1,84
sarai kale khan,adarsh nagar,18.289129157382703,1,0,100
adarsh nagar,shalimar bagh,13.846883827049101,0,2,67
shalimar bagh,adarsh nagar,13.846883827049101,2,0,100
adarsh nagar,tilak nagar,3.5825818840056662,0,1,84
tilak nagar,adarsh nagar,3.5825818840056662,1,0,100
adarsh nagar,tis hazari,15.335434874114432,0,2,67
tis hazari,adarsh nagar,15.335434874114432,2,0,100
adarsh nagar,trilokpuri,22.97037647291884,0,2,67
trilokpuri,adarsh nagar,22.97037647291884,2,0,100
adarsh nagar,tughlakabad,22.181708292455397,0,1,84
tughlakabad,adarsh nagar,22.181708292455397,1,0,100
adarsh nagar,vasant kunj,12.420303476376723,0,2,67
vasant kunj,adarsh nagar,12.420303476376723,2,0,100
adarsh nagar,vijay nagar,15.33910990067196,0,1,84
vijay nagar,adarsh nagar,15.33910990067196,1,0,100
adarsh nagar,wazirabad,20.125437506646946,0,2,67
wazirabad,adarsh nagar,20.125437506646946,2,0,100
adarsh nagar,yamuna vihar,21.848610236100274,0,1,84
yamuna vihar,adarsh nagar,21.848610236100274,1,0,100
aiims,bawana,30.91530343904337,2,1,84
bawana,aiims,30.91530343904337,1,2,67
aiims,burari,20.701404353867968,2,1,84
burari,aiims,20.701404353867968,1,2,67
aiims,chhatarpur,7.550500423033701,2,2,67
chhatarpur,aiims,7.550500423033701,2,2,67
aiims,chhawla,19.93859105969339,2,2,67
chhawla,aiims,19.93859105969339,2,2,67
aiims,chittaranjan park,5.1635762085609285,2,1,84
chittaranjan park,aiims,5.1635762085609285,1,2,67
aiims,civil lines,12.205676846216312,2,3,50
civil lines,aiims,12.205676846216312,3,2,67
aiims,connaught place,7.128002969154768,2,1,84
connaught place,aiims,7.128002969154768,1,2,67
aiims,dwarka,18.843457906583442,2,6,0
dwarka,aiims,18.843457906583442,6,2,67
aiims,fatehpur beri,12.566666073218448,2,1,84
fatehpur beri,aiims,12.566666073218448,1,2,67
aiims,gautam nagar,0.7793344132864042,2,0,100
gautam nagar,aiims,0.7793344132864042,0,2,67
aiims,geeta colony,11.260364101032314,2,1,84
geeta colony,aiims,11.260364101032314,1,2,67
aiims,green park,1.1297900829211631,2,1,84
green park,aiims,1.1297900829211631,1,2,67
aiims,inderpuri,9.003663336480551,2,1,84
inderpuri,aiims,9.003663336480551,1,2,67
aiims,jasola,8.889098354447375,2,2,67
jasola,aiims,8.889098354447375,2,2,67
aiims,kakrola,19.202819227105554,2,1,84
kakrola,aiims,19.202819227105554,1,2,67
aiims,kalkaji,6.264198948122798,2,2,67
kalkaji,aiims,6.264198948122798,2,2,67
aiims,kapashera,13.112442302824125,2,3,50
kapashera,aiims,13.112442302824125,3,2,67
aiims,karawal nagar,19.25829474197774,2,1,84
karawal nagar,aiims,19.25829474197774,1,2,67
aiims,kashmiri gate,11.565642917437787,2,4,34
kashmiri gate,aiims,11.565642917437787,4,2,67
aiims,khanpur,6.583901525608659,2,1,84
khanpur,aiims,6.583901525608659,1,2,67
aiims,kirti nagar,11.483701404485593,2,1,84
kirti nagar,aiims,11.483701404485593,1,2,67
aiims,lajpat nagar,3.660543213747189,2,1,84
lajpat nagar,aiims,3.660543213747189,1,2,67
aiims,mangolpuri,17.198471490638727,2,1,84
mangolpuri,aiims,17.198471490638727,1,2,67
aiims,mehrauli,5.916831245938318,2,5,17
mehrauli,aiims,5.916831245938318,5,2,67
aiims,mundka,21.383479673001922,2,1,84
mundka,aiims,21.383479673001922,1,2,67
aiims,najafgarh,22.59488764982961,2,2,67
najafgarh,aiims,22.59488764982961,2,2,67
aiims,nangloi,18.464323803428467,2,1,84
nangloi,aiims,18.464323803428467,1,2,67
aiims,naraina,9.067289018376234,2,1,84
naraina,aiims,9.067289018376234,1,2,67
aiims,narela,32.56950140818387,2,5,17
narela,aiims,32.56950140818387,5,2,67
aiims,okhla,7.905337969139336,2,4,34
okhla,aiims,7.905337969139336,4,2,67
aiims,palam,12.531461020985933,2,1,84
palam,aiims,12.531461020985933,1,2,67
aiims,patel nagar,11.362664536389016,2,0,100
patel nagar,aiims,11.362664536389016,0,2,67
aiims,pitampura,16.48519225253337,2,2,67
pitampura,aiims,16.48519225253337,2,2,67
aiims,prem nagar,22.50715795584156,2,1,84
prem nagar,aiims,22.50715795584156,1,2,67
aiims,rajouri garden,12.20047079177607,2,1,84
rajouri garden,aiims,12.20047079177607,1,2,67
aiims,rohini,18.721119421910444,2,4,34
rohini,aiims,18.721119421910444,4,2,67
aiims,saket,4.885411241019697,2,1,84
saket,aiims,4.885411241019697,1,2,67
aiims,sangam vihar,8.388389286249758,2,2,67
sangam vihar,aiims,8.388389286249758,2,2,67
aiims,sarai kale khan,5.1174812453248295,2,1,84
sarai kale khan,aiims,5.1174812453248295,1,2,67
aiims,shalimar bagh,17.528156878651053,2,2,67
shalimar bagh,aiims,17.528156878651053,2,2,67
aiims,tilak nagar,13.699281342115855,2,1,84
tilak nagar,aiims,13.699281342115855,1,2,67
aiims,tis hazari,11.047354293352333,2,2,67
tis hazari,aiims,11.047354293352333,2,2,67
aiims,trilokpuri,10.475088071633277,2,2,67
trilokpuri,aiims,10.475088071633277,2,2,67
aiims,tughlakabad,8.42452075004206,2,1,84
tughlakabad,aiims,8.42452075004206,1,2,67
aiims,vasant kunj,6.826401324064907,2,2,67
vasant kunj,aiims,6.826401324064907,2,2,67
aiims,vijay nagar,13.744563330912747,2,1,84
vijay nagar,aiims,13.744563330912747,1,2,67
aiims,wazirabad,19.019684866211364,2,2,67
wazirabad,aiims,19.019684866211364,2,2,67
aiims,yamuna vihar,16.000543492460473,2,1,84
yamuna vihar,aiims,16.000543492460473,1,2,67
bawana,burari,16.584422377716653,1,1,84
burari,bawana,16.584422377716653,1,1,84
bawana,chhatarpur,35.3949211163281,1,2,67
chhatarpur,bawana,35.3949211163281,2,1,84
bawana,chhawla,26.469233146991343,1,2,67
chhawla,bawana,26.469233146991343,2,1,84
bawana,chittaranjan park,35.8785766424858,1,1,84
chittaranjan park,bawana,35.8785766424858,1,1,84
bawana,civil lines,23.184406367830164,1,3,50
civil lines,bawana,23.184406367830164,3,1,84
bawana,connaught place,26.121927420351078,1,1,84
connaught place,bawana,26.121927420351078,1,1,84
bawana,dwarka,20.564465171740736,1,6,0
dwarka,bawana,20.564465171740736,6,1,84
bawana,fatehpur beri,40.76730227745386,1,1,84
fatehpur beri,bawana,40.76730227745386,1,1,84
bawana,gautam nagar,31.694221219098925,1,0,100
gautam nagar,bawana,31.694221219098925,0,1,84
bawana,geeta colony,28.95156555963479,1,1,84
geeta colony,bawana,28.95156555963479,1,1,84
bawana,green park,31.78015383031449,1,1,84
green park,bawana,31.78015383031449,1,1,84
bawana,inderpuri,22.034138279943523,1,1,84
inderpuri,bawana,22.034138279943523,1,1,84
bawana,jasola,38.343845523797604,1,2,67
jasola,bawana,38.343845523797604,2,1,84
bawana,kakrola,21.41179959939264,1,1,84
kakrola,bawana,21.41179959939264,1,1,84
bawana,kalkaji,36.76117866536345,1,2,67
kalkaji,bawana,36.76117866536345,2,1,84
bawana,kapashera,30.66709324731793,1,3,50
kapashera,bawana,30.66709324731793,3,1,84
bawana,karawal nagar,24.779674164954372,1,1,84
karawal nagar,bawana,24.779674164954372,1,1,84
bawana,kashmiri gate,24.188247029779053,1,4,34
kashmiri gate,bawana,24.188247029779053,4,1,84
bawana,khanpur,37.3688320331768,1,1,84
khanpur,bawana,37.3688320331768,1,1,84
bawana,kirti nagar,19.43357884833056,1,1,84
kirti nagar,bawana,19.43357884833056,1,1,84
bawana,lajpat nagar,33.29953173657791,1,1,84
lajpat nagar,bawana,33.29953173657791,1,1,84
bawana,mangolpuri,13.926202164339294,1,1,84
mangolpuri,bawana,13.926202164339294,1,1,84
bawana,mehrauli,33.996989159286066,1,5,17
mehrauli,bawana,33.996989159286066,5,1,84
bawana,mundka,13.263948537891658,1,1,84
mundka,bawana,13.263948537891658,1,1,84
bawana,najafgarh,21.40720286508852,1,2,67
najafgarh,bawana,21.40720286508852,2,1,84
bawana,nangloi,13.858930687209403,1,1,84
nangloi,bawana,13.858930687209403,1,1,84
bawana,naraina,22.27996977350481,1,1,84
naraina,bawana,22.27996977350481,1,1,84
bawana,narela,7.46931909793136,1,5,17
narela,bawana,7.46931909793136,5,1,84
bawana,okhla,36.23700314495087,1,4,34
okhla,bawana,36.23700314495087,4,1,84
bawana,palam,23.61055807324941,1,1,84
palam,bawana,23.61055807324941,1,1,84
bawana,patel nagar,19.702401014612924,1,0,100
patel nagar,bawana,19.702401014612924,0,1,84
bawana,pitampura,14.62318237408994,1,2,67
pitampura,bawana,14.62318237408994,2,1,84
bawana,prem nagar,23.191161770010485,1,1,84
prem nagar,bawana,23.191161770010485,1,1,84
bawana,rajouri garden,19.301062628801613,1,1,84
rajouri garden,bawana,19.301062628801613,1,1,84
bawana,rohini,12.38780584871159,1,4,34
rohini,bawana,12.38780584871159,4,1,84
bawana,saket,35.328163931328476,1,1,84
saket,bawana,35.328163931328476,1,1,84
bawana,sangam vihar,39.14820840055233,1,2,67
sangam vihar,bawana,39.14820840055233,2,1,84
bawana,sarai kale khan,32.18267081110791,1,1,84
sarai kale khan,bawana,32.18267081110791,1,1,84
bawana,shalimar bagh,14.691086967077815,1,2,67
shalimar bagh,bawana,14.691086967077815,2,1,84
bawana,tilak nagar,18.765178352800685,1,1,84
tilak nagar,bawana,18.765178352800685,1,1,84
bawana,tis hazari,23.19566647980319,1,2,67
tis hazari,bawana,23.19566647980319,2,1,84
bawana,trilokpuri,34.32680740392336,1,2,67
trilokpuri,bawana,34.32680740392336,2,1,84
bawana,tughlakabad,39.250608999567966,1,1,84
tughlakabad,bawana,39.250608999567966,1,1,84
bawana,vasant kunj,32.311771523829144,1,2,67
vasant kunj,bawana,32.311771523829144,2,1,84
bawana,vijay nagar,20.3797953900274,1,1,84
vijay nagar,bawana,20.3797953900274,1,1,84
bawana,wazirabad,41.037105617878005,1,2,67
wazirabad,bawana,41.037105617878005,2,1,84
bawana,yamuna vihar,25.86116695077909,1,1,84
yamuna vihar,bawana,25.86116695077909,1,1,84
burari,chhatarpur,27.54336255384192,1,2,67
chhatarpur,burari,27.54336255384192,2,1,84
burari,chhawla,28.22729101229198,1,2,67
chhawla,burari,28.22729101229198,2,1,84
burari,chittaranjan park,24.50366587839233,1,1,84
chittaranjan park,burari,24.50366587839233,1,1,84
burari,civil lines,9.057735755416218,1,3,50
civil lines,burari,9.057735755416218,3,1,84
burari,connaught place,13.837177136062934,1,1,84
connaught place,burari,13.837177136062934,1,1,84
burari,dwarka,22.812025163137555,1,6,0
dwarka,burari,22.812025163137555,6,1,84
burari,fatehpur beri,32.993874510585606,1,1,84
fatehpur beri,burari,32.993874510585606,1,1,84
burari,gautam nagar,21.39243191621199,1,0,100
gautam nagar,burari,21.39243191621199,0,1,84
burari,geeta colony,13.989900360030534,1,1,84
geeta colony,burari,13.989900360030534,1,1,84
burari,green park,21.812257979588868,1,1,84
green park,burari,21.812257979588868,1,1,84
burari,inderpuri,14.679417157673516,1,1,84
inderpuri,burari,14.679417157673516,1,1,84
burari,jasola,25.460550355930906,1,2,67
jasola,burari,25.460550355930906,2,1,84
burari,kakrola,23.792977344886502,1,1,84
kakrola,burari,23.792977344886502,1,1,84
burari,kalkaji,24.978532309730692,1,2,67
kalkaji,burari,24.978532309730692,2,1,84
burari,kapashera,27.48455763798898,1,3,50
kapashera,burari,27.48455763798898,3,1,84
burari,karawal nagar,8.195253115792385,1,1,84
karawal nagar,burari,8.195253115792385,1,1,84
burari,kashmiri gate,10.01130818185552,1,4,34
kashmiri gate,burari,10.01130818185552,4,1,84
burari,khanpur,27.05682732682827,1,1,84
khanpur,burari,27.05682732682827,1,1,84
burari,kirti nagar,12.325401603496491,1,1,84
kirti nagar,burari,12.325401603496491,1,1,84
burari,lajpat nagar,21.529550680278877,1,1,84
lajpat nagar,burari,21.529550680278877,1,1,84
burari,mangolpuri,12.14990995946142,1,1,84
mangolpuri,burari,12.14990995946142,1,1,84
burari,mehrauli,25.853718614704718,1,5,17
mehrauli,burari,25.853718614704718,5,1,84
burari,mundka,17.995062145507127,1,1,84
mundka,burari,17.995062145507127,1,1,84
burari,najafgarh,26.025152452426727,1,2,67
najafgarh,burari,26.025152452426727,2,1,84
burari,nangloi,14.99475287513514,1,1,84
nangloi,burari,14.99475287513514,1,1,84
burari,naraina,15.649731319082164,1,1,84
naraina,burari,15.649731319082164,1,1,84
burari,narela,14.073656584847953,1,5,17
narela,burari,14.073656584847953,5,1,84
burari,okhla,23.063143077231285,1,4,34
okhla,burari,23.063143077231285,4,1,84
burari,palam,21.067877166249144,1,1,84
palam,burari,21.067877166249144,1,1,84
burari,patel nagar,11.093555786037417,1,0,100
patel nagar,burari,11.093555786037417,0,1,84
burari,pitampura,8.739928502299996,1,2,67
pitampura,burari,8.739928502299996,2,1,84
burari,prem nagar,27.315989994863948,1,1,84
prem nagar,burari,27.315989994863948,1,1,84
burari,rajouri garden,14.607643475241382,1,1,84
rajouri garden,burari,14.607643475241382,1,1,84
burari,rohini,8.661908454527321,1,4,34
rohini,burari,8.661908454527321,4,1,84
burari,saket,25.582603617107463,1,1,84
saket,burari,25.582603617107463,1,1,84
burari,sangam vihar,28.812792071931728,1,2,67
sangam vihar,burari,28.812792071931728,2,1,84
burari,sarai kale khan,19.538785507853955,1,1,84
sarai kale khan,burari,19.538785507853955,1,1,84
burari,shalimar bagh,5.897893317823455,1,2,67
shalimar bagh,burari,5.897893317823455,2,1,84
burari,tilak nagar,16.062178467365836,1,1,84
tilak nagar,burari,16.062178467365836,1,1,84
burari,tis hazari,9.874312763924618,1,2,67
tis hazari,burari,9.874312763924618,2,1,84
burari,trilokpuri,19.76540684347326,1,2,67
trilokpuri,burari,19.76540684347326,2,1,84
burari,tughlakabad,27.735711151841198,1,1,84
tughlakabad,burari,27.735711151841198,1,1,84
burari,vasant kunj,25.29184033296489,1,2,67
vasant kunj,burari,25.29184033296489,2,1,84
burari,vijay nagar,6.9624946419916665,1,1,84
vijay nagar,burari,6.9624946419916665,1,1,84
burari,wazirabad,37.09915607458613,1,2,67
wazirabad,burari,37.09915607458613,2,1,84
burari,yamuna vihar,9.651972310393386,1,1,84
yamuna vihar,burari,9.651972310393386,1,1,84
chhatarpur,chhawla,17.816603025276425,2,2,67
chhawla,chhatarpur,17.816603025276425,2,2,67
chhatarpur,chittaranjan park,8.078302958392582,2,1,84
chittaranjan park,chhatarpur,8.078302958392582,1,2,67
chhatarpur,civil lines,19.53190211106697,2,3,50
civil lines,chhatarpur,19.53190211106697,3,2,67
chhatarpur,connaught place,14.528218415707572,2,1,84
connaught place,chhatarpur,14.528218415707572,1,2,67
chhatarpur,dwarka,19.119845255600573,2,6,0
dwarka,chhatarpur,19.119845255600573,6,2,67
chhatarpur,fatehpur beri,5.545446899945482,2,1,84
fatehpur beri,chhatarpur,5.545446899945482,1,2,67
chhatarpur,gautam nagar,7.15790648973766,2,0,100
gautam nagar,chhatarpur,7.15790648973766,0,2,67
chhatarpur,geeta colony,18.736543890875648,2,1,84
geeta colony,chhatarpur,18.736543890875648,1,2,67
chhatarpur,green park,6.487851835391383,2,1,84
green park,chhatarpur,6.487851835391383,1,2,67
chhatarpur,inderpuri,13.824923484902312,2,1,84
inderpuri,chhatarpur,13.824923484902312,1,2,67
chhatarpur,jasola,12.311910259674995,2,2,67
jasola,chhatarpur,12.311910259674995,2,2,67
chhatarpur,kakrola,19.08839061688908,2,1,84
kakrola,chhatarpur,19.08839061688908,1,2,67
chhatarpur,kalkaji,9.125168260798645,2,2,67
kalkaji,chhatarpur,9.125168260798645,2,2,67
chhatarpur,kapashera,9.338781477510793,2,3,50
kapashera,chhatarpur,9.338781477510793,3,2,67
chhatarpur,karawal nagar,26.780843110204483,2,1,84
karawal nagar,chhatarpur,26.780843110204483,1,2,67
chhatarpur,kashmiri gate,18.9814770305416,2,4,34
kashmiri gate,chhatarpur,18.9814770305416,4,2,67
chhatarpur,khanpur,5.6482427382866485,2,1,84
khanpur,chhatarpur,5.6482427382866485,1,2,67
chhatarpur,kirti nagar,16.608742069274786,2,1,84
kirti nagar,chhatarpur,16.608742069274786,1,2,67
chhatarpur,lajpat nagar,9.495721938358118,2,1,84
lajpat nagar,chhatarpur,9.495721938358118,1,2,67
chhatarpur,mangolpuri,21.50337429317132,2,1,84
mangolpuri,chhatarpur,21.50337429317132,1,2,67
chhatarpur,mehrauli,1.7030981360690378,2,5,17
mehrauli,chhatarpur,1.7030981360690378,5,2,67
chhatarpur,mundka,23.91361904235745,2,1,84
mundka,chhatarpur,23.91361904235745,1,2,67
chhatarpur,najafgarh,22.16960389642652,2,2,67
najafgarh,chhatarpur,22.16960389642652,2,2,67
chhatarpur,nangloi,21.822596880311295,2,1,84
nangloi,chhatarpur,21.822596880311295,1,2,67
chhatarpur,naraina,13.299247520588644,2,1,84
naraina,chhatarpur,13.299247520588644,1,2,67
chhatarpur,narela,38.21244310875202,2,5,17
narela,chhatarpur,38.21244310875202,5,2,67
chhatarpur,okhla,12.81160938989099,2,4,34
okhla,chhatarpur,12.81160938989099,4,2,67
chhatarpur,palam,13.061201966138482,2,1,84
palam,chhatarpur,13.061201966138482,1,2,67
chhatarpur,patel nagar,17.105664330054378,2,0,100
patel nagar,chhatarpur,17.105664330054378,0,2,67
chhatarpur,pitampura,21.873094033079425,2,2,67
pitampura,chhatarpur,21.873094033079425,2,2,67
chhatarpur,prem nagar,21.489144309091735,2,1,84
prem nagar,chhatarpur,21.489144309091735,1,2,67
chhatarpur,rajouri garden,16.11409900764913,2,1,84
rajouri garden,chhatarpur,16.11409900764913,1,2,67
chhatarpur,rohini,23.962778668009747,2,4,34
rohini,chhatarpur,23.962778668009747,4,2,67
chhatarpur,saket,4.261252687673614,2,1,84
saket,chhatarpur,4.261252687673614,1,2,67
chhatarpur,sangam vihar,6.352383353269575,2,2,67
sangam vihar,chhatarpur,6.352383353269575,2,2,67
chhatarpur,sarai kale khan,11.906425690585468,2,1,84
sarai kale khan,chhatarpur,11.906425690585468,1,2,67
chhatarpur,shalimar bagh,23.54257606156209,2,2,67
shalimar bagh,chhatarpur,23.54257606156209,2,2,67
chhatarpur,tilak nagar,16.755383459455594,2,1,84
tilak nagar,chhatarpur,16.755383459455594,1,2,67
chhatarpur,tis hazari,18.289969996113484,2,2,67
tis hazari,chhatarpur,18.289969996113484,2,2,67
chhatarpur,trilokpuri,16.916438877345463,2,2,67
trilokpuri,chhatarpur,16.916438877345463,2,2,67
chhatarpur,tughlakabad,9.016405738080737,2,1,84
tughlakabad,chhatarpur,9.016405738080737,1,2,67
chhatarpur,vasant kunj,3.2234106848084583,2,2,67
vasant kunj,chhatarpur,3.2234106848084583,2,2,67
chhatarpur,vijay nagar,20.709585091407508,2,1,84
vijay nagar,chhatarpur,20.709585091407508,1,2,67
chhatarpur,wazirabad,11.775300878998944,2,2,67
wazirabad,chhatarpur,11.775300878998944,2,2,67
chhatarpur,yamuna vihar,23.54674454578445,2,1,84
yamuna vihar,chhatarpur,23.54674454578445,1,2,67
chhawla,chittaranjan park,24.087242856230827,2,1,84
chittaranjan park,chhawla,24.087242856230827,1,2,67
chhawla,civil lines,25.004447708770837,2,3,50
civil lines,chhawla,25.004447708770837,3,2,67
chhawla,connaught place,22.383093418479348,2,1,84
connaught place,chhawla,22.383093418479348,1,2,67
chhawla,dwarka,6.0585671873126605,2,6,0
dwarka,chhawla,6.0585671873126605,6,2,67
chhawla,fatehpur beri,21.010771124173555,2,1,84
fatehpur beri,chhawla,21.010771124173555,1,2,67
chhawla,gautam nagar,20.340260875328624,2,0,100
gautam nagar,chhawla,20.340260875328624,0,2,67
chhawla,geeta colony,28.242065928388964,2,1,84
geeta colony,chhawla,28.242065928388964,1,2,67
chhawla,green park,19.798212340605744,2,1,84
green park,chhawla,19.798212340605744,1,2,67
chhawla,inderpuri,15.751505981349492,2,1,84
inderpuri,chhawla,15.751505981349492,1,2,67
chhawla,jasola,28.438064251555012,2,2,67
jasola,chhawla,28.438064251555012,2,2,67
chhawla,kakrola,5.117217971576208,2,1,84
kakrola,chhawla,5.117217971576208,1,2,67
chhawla,kalkaji,25.327064738980738,2,2,67
kalkaji,chhawla,25.327064738980738,2,2,67
chhawla,kapashera,8.599505249461222,2,3,50
kapashera,chhawla,8.599505249461222,3,2,67
chhawla,karawal nagar,32.35856180965129,2,1,84
karawal nagar,chhawla,32.35856180965129,1,2,67
chhawla,kashmiri gate,25.22691786358921,2,4,34
kashmiri gate,chhawla,25.22691786358921,4,2,67
chhawla,khanpur,22.979967083573445,2,1,84
khanpur,chhawla,22.979967083573445,1,2,67
chhawla,kirti nagar,16.77173358478941,2,1,84
kirti nagar,chhawla,16.77173358478941,1,2,67
chhawla,lajpat nagar,23.581335512176576,2,1,84
lajpat nagar,chhawla,23.581335512176576,1,2,67
chhawla,mangolpuri,16.480207130387367,2,1,84
mangolpuri,chhawla,16.480207130387367,1,2,67
chhawla,mehrauli,17.614242854248804,2,5,17
mehrauli,chhawla,17.614242854248804,5,2,67
chhawla,mundka,13.307796885988386,2,1,84
mundka,chhawla,13.307796885988386,1,2,67
chhawla,najafgarh,5.885688636135996,2,2,67
najafgarh,chhawla,5.885688636135996,2,2,67
chhawla,nangloi,14.26466524748085,2,1,84
nangloi,chhawla,14.26466524748085,1,2,67
chhawla,naraina,14.68118373682983,2,1,84
naraina,chhawla,14.68118373682983,1,2,67
chhawla,narela,32.25023328494626,2,5,17
narela,chhawla,32.25023328494626,5,2,67
chhawla,okhla,27.821177940564517,2,4,34
okhla,chhawla,27.821177940564517,4,2,67
chhawla,palam,8.326309736879786,2,1,84
palam,chhawla,8.326309736879786,1,2,67
chhawla,patel nagar,18.395694042033146,2,0,100
patel nagar,chhawla,18.395694042033146,0,2,67
chhawla,pitampura,19.53504672586432,2,2,67
pitampura,chhawla,19.53504672586432,2,2,67
chhawla,prem nagar,4.397087340152462,2,1,84
prem nagar,chhawla,4.397087340152462,1,2,67
chhawla,rajouri garden,14.030280137057664,2,1,84
rajouri garden,chhawla,14.030280137057664,1,2,67
chhawla,rohini,20.29257308264112,2,4,34
rohini,chhawla,20.29257308264112,4,2,67
chhawla,saket,20.91197044890565,2,1,84
saket,chhawla,20.91197044890565,1,2,67
chhawla,sangam vihar,24.07610781493378,2,2,67
sangam vihar,chhawla,24.07610781493378,2,2,67
chhawla,sarai kale khan,24.75288036127253,2,1,84
sarai kale khan,chhawla,24.75288036127253,1,2,67
chhawla,shalimar bagh,22.361986276736282,2,2,67
shalimar bagh,chhawla,22.361986276736282,2,2,67
chhawla,tilak nagar,12.234735487395115,2,1,84
tilak nagar,chhawla,12.234735487395115,1,2,67
chhawla,tis hazari,23.755654555353345,2,2,67
tis hazari,chhawla,23.755654555353345,2,2,67
chhawla,trilokpuri,29.91252912943225,2,2,67
trilokpuri,chhawla,29.91252912943225,2,2,67
chhawla,tughlakabad,26.27903798043561,2,1,84
tughlakabad,chhawla,26.27903798043561,1,2,67
chhawla,vasant kunj,15.118710037633807,2,2,67
vasant kunj,chhawla,15.118710037633807,2,2,67
chhawla,vijay nagar,24.00226252740283,2,1,84
vijay nagar,chhawla,24.00226252740283,1,2,67
chhawla,wazirabad,16.524663090023772,2,2,67
wazirabad,chhawla,16.524663090023772,2,2,67
